issuer,class,cusip,value_usd,shares,share_type,put_call,pct_portfolio
BROOKFIELD CORP,CL A LTD VT SH,11271J107,2415946008000,59697208,SH,,17.62
AMAZON COM INC,COM,023135106,2385104083000,11451981,SH,,17.39
UBER TECHNOLOGIES INC,COM,90353T100,2154934398000,29958771,SH,,15.71
MICROSOFT CORP,COM,594918104,2092970053000,5654078,SH,,15.26
RESTAURANT BRANDS INTL INC,COM,76131D103,1673501194000,22645483,SH,,12.2
META PLATFORMS INC,CL A,30303M102,1522358404000,2660861,SH,,11.1
HOWARD HUGHES HOLDINGS INC,COM,44267T102,1192581569000,18852064,SH,,8.7
SEAPORT ENTMT GROUP INC,COMMON STOCK,812215200,107910794000,5023780,SH,,0.79
ALPHABET INC,CAP STK CL C,02079K107,89421720000,311726,SH,,0.65
HERTZ GLOBAL HLDGS INC,COM NEW,42806J700,70261595000,15241127,SH,,0.51
ALPHABET INC,CAP STK CL A,02079K305,9310043000,32376,SH,,0.07
