issuer,class,cusip,value_usd,shares,share_type,put_call,pct_portfolio
SANDISK CORP,COM,80004C200,5673738513000,2495344,SH,,28.03
MICRON TECHNOLOGY INC,COM,595112103,5573819392000,4828786,SH,,27.54
BLOOM ENERGY CORP,COM CL A,093712107,1898778982000,6272808,SH,,9.38
TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,874039100,1265099645000,2649035,SH,,6.25
NEBIUS GROUP N.V.,CLASS ASHS,N97284108,1232894684000,4464260,SH,,6.09
COREWEAVE INC,COM CL A,21873S108,744515203000,7479558,SH,,3.68
CORE SCIENTIFIC INC NEW,COM,21874A106,665556824000,26008473,SH,,3.29
STMICROELECTRONICS,NY REGISTRY,861012102,584344203000,7802700,SH,,2.89
APPLIED DIGITAL CORP,COM NEW,038169207,469022807000,15384616,SH,,2.32
RIOT PLATFORMS INC,COM,767292105,468198000000,17100000,SH,,2.31
SHARONAI HOLDINGS INC,COM CL A,778920306,456836112000,5396127,SH,,2.26
IREN LIMITED,ORDINARY SHARES,Q4982L109,433250547000,9474099,SH,,2.14
CLEANSPARK INC,COM NEW,18452B209,178617822000,12276139,SH,,0.88
KEEL INFRASTRUCTURE CORP,SHSCOM,486917107,151830996000,26451393,SH,,0.75
SOLARIS ENERGY INFRAS INC,COM CL A,83418M103,90889306000,1129621,SH,,0.45
WHITEFIBER INC,SHS,G96115103,68282760000,1757600,SH,,0.34
BITDEER TECHNOLOGIES GROUP,CL A ORD SHS,G11448100,54584072000,3439450,SH,,0.27
T1 ENERGY INC,COM NEW,35834F104,46452000000,4900000,SH,,0.23
BLOOM ENERGY CORP,COM CL A,093712107,44133660000,145800,SH,Call,0.22
HIVE DIGITAL TECHNOLOGIES LT,COM NEW,433921103,33246763000,9133726,SH,,0.16
BABCOCK & WILCOX ENTERPRISES,COM,05614L209,28587059000,2027451,SH,,0.14
PROPETRO HLDG CORP,COM,74347M108,28111878000,1960382,SH,,0.14
TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,874039100,23878500000,50000,SH,Call,0.12
VISHAY INTERTECHNOLOGY INC,COM,928298108,20167500000,375000,SH,,0.1
INFOSYS LTD,SPONSORED ADR,456788108,5245000000,500000,SH,Put,0.03
CEREBRAS SYSTEMS INC,COM CL A,15675D103,2210000000,10000,SH,,0.01
