issuer,class,cusip,value_usd,shares,share_type,put_call,pct_portfolio
AMERICAN EXPRESS CO,COM,025816109,45087984892000,149061045,SH,,17.14
COCA COLA CO,COM,191216100,21501063540000,282722729,SH,,8.17
APPLE INC,COM,037833100,20471924668000,80664820,SH,,7.78
OCCIDENTAL PETE CORP,COM,674599105,17221193015000,264941431,SH,,6.55
APPLE INC,COM,037833100,15618994925000,61542988,SH,,5.94
BANK AMERICA CORP,COM,060505104,15151500000000,310800000,SH,,5.76
CHEVRON CORPORATION,COM,166764100,12052286868000,58251749,SH,,4.58
ALPHABET INC,CAP STK CL A,02079K305,11871367661000,41283098,SH,,4.51
CHUBB LTD SWITZ,COM,H1467J104,11162836215000,34249183,SH,,4.24
APPLE INC,COM,037833100,8812603960000,34724000,SH,,3.35
KRAFT HEINZ CO,COM,500754106,7323527057000,325634818,SH,,2.78
BANK AMERICA CORP,COM,060505104,6128850000000,125720000,SH,,2.33
COCA COLA CO,COM,191216100,6105537360000,80283200,SH,,2.32
MOODYS CORP,COM,615369105,5507110938000,12623750,SH,,2.09
MOODYS CORP,COM,615369105,5223626090000,11973928,SH,,1.99
APPLE INC,COM,037833100,3941866280000,15532000,SH,,1.5
APPLE INC,COM,037833100,3672848880000,14472000,SH,,1.4
CHEVRON CORPORATION,COM,166764100,2788531578000,13477678,SH,,1.06
DELTA AIR LINES INC,COM NEW,247361702,2646532635000,39809456,SH,,1.01
SIRIUSXM HOLDINGS INC,COMMON STOCK,829933100,2511616999000,108822227,SH,,0.95
DAVITA INC,COM,23918K108,2324865095000,15126977,SH,,0.88
DAVITA INC,COM,23918K108,2301293814000,14973608,SH,,0.87
VERISIGN INC,COM,92343E102,1991085480000,8016933,SH,,0.76
KROGER CO,COM,501044101,1972335334000,27257260,SH,,0.75
ALPHABET INC,CAP STK CL A,02079K305,1926652000000,6700000,SH,,0.73
CHEVRON CORPORATION,COM,166764100,1901860180000,9192171,SH,,0.72
APPLE INC,COM,037833100,1828303160000,7204000,SH,,0.69
ALPHABET INC,CAP STK CL A,02079K305,1797250000000,6250000,SH,,0.68
BANK AMERICA CORP,COM,060505104,1376634919000,28238665,SH,,0.52
KROGER CO,COM,501044101,1165509032000,16107090,SH,,0.44
NEW YORK TIMES CO MTN BE,CL A,650111107,1150997376000,13746535,SH,,0.44
COCA COLA CO,COM,191216100,1140019920000,14990400,SH,,0.43
COCA COLA CO,COM,191216100,1095971760000,14411200,SH,,0.42
ALPHABET INC,CAP STK CL C,02079K107,1028454775000,3585215,SH,,0.39
BANK AMERICA CORP,COM,060505104,1023750000000,21000000,SH,,0.39
APPLE INC,COM,037833100,974553600000,3840000,SH,,0.37
APPLE INC,COM,037833100,958311040000,3776000,SH,,0.36
LENNAR CORP,CL A,526057104,877052911000,10099642,SH,,0.33
CHEVRON CORPORATION,COM,166764100,714685980000,3454258,SH,,0.27
APPLE INC,COM,037833100,691323960000,2724000,SH,,0.26
APPLE INC,COM,037833100,688278480000,2712000,SH,,0.26
NUCOR CORP,COM,670346105,660686383000,3907075,SH,,0.25
BANK AMERICA CORP,COM,060505104,580125000000,11900000,SH,,0.22
CAPITAL ONE FINL CORP,COM,14040H105,560750962000,3073787,SH,,0.21
LIBERTY LIVE HOLDINGS INC,COM SHS SER C,530909308,518318636000,5507583,SH,,0.2
ALLY FINL INC,COM,02005N100,498992850000,12719675,SH,,0.19
BANK AMERICA CORP,COM,060505104,477750000000,9800000,SH,,0.18
AMERICAN EXPRESS CO,COM,025816109,423385188000,1399713,SH,,0.16
CAPITAL ONE FINL CORP,COM,14040H105,389852910000,2137000,SH,,0.15
KROGER CO,COM,501044101,388364731000,5367119,SH,,0.15
SIRIUSXM HOLDINGS INC,COMMON STOCK,829933100,368931261000,15984890,SH,,0.14
CAPITAL ONE FINL CORP,COM,14040H105,353770628000,1939213,SH,,0.13
AMERICAN EXPRESS CO,COM,025816109,347834456000,1149942,SH,,0.13
LIBERTY LIVE HOLDINGS INC,COM SHS SER C,530909308,327469956000,3479651,SH,,0.12
LOUISIANA PAC CORP,COM,546347105,316092130000,4344909,SH,,0.12
LIBERTY LIVE HOLDINGS INC,COM SER A,530909100,301016781000,3284775,SH,,0.11
COCA COLA CO,COM,191216100,270129600000,3552000,SH,,0.1
VERISIGN INC,COM,92343E102,241641117000,972947,SH,,0.09
BANK AMERICA CORP,COM,060505104,191100000000,3920000,SH,,0.07
ALLY FINL INC,COM,02005N100,189726088000,4836250,SH,,0.07
APPLE INC,COM,037833100,175622680000,692000,SH,,0.07
ALLY FINL INC,COM,02005N100,165872286000,4228200,SH,,0.06
COCA COLA CO,COM,191216100,138715200000,1824000,SH,,0.05
LIBERTY LIVE HOLDINGS INC,COM SHS SER C,530909308,135263268000,1437289,SH,,0.05
ALLY FINL INC,COM,02005N100,123064510000,3137000,SH,,0.05
NEW YORK TIMES CO MTN BE,CL A,650111107,117222000000,1400000,SH,,0.04
ALLY FINL INC,COM,02005N100,109996016000,2803875,SH,,0.04
BANK AMERICA CORP,COM,060505104,102375000000,2100000,SH,,0.04
LOUISIANA PAC CORP,COM,546347105,96021561000,1319884,SH,,0.04
CONSTELLATION BRANDS INC,CL A,21036P108,94933500000,632890,SH,,0.04
LIBERTY LIVE HOLDINGS INC,COM SER A,530909100,92712005000,1011698,SH,,0.04
NVR INC,COM,62944T105,73226191000,11112,SH,,0.03
COCA COLA CO,COM,191216100,73008000000,960000,SH,,0.03
