issuer,class,cusip,value_usd,shares,share_type,put_call,pct_portfolio
GREEN BRICK PARTNERS INC,COM,392709101,557009576000,8642507,SH,,17.46
FLUOR CORP,COM,343412102,178358345000,3823330,SH,,5.59
CORE NATURAL RESOURCES INC,COM SHS,218937100,163106293000,1557398,SH,,5.11
BRIGHTHOUSE FINL INC,COM,10922N103,137347714000,2293716,SH,,4.3
PG&E CORP,COM,69331C108,98288196000,5594092,SH,,3.08
VERSANT MEDIA GROUP INC,COM CL A,925283103,93243940000,2518745,SH,,2.92
VICTORIAS SECRET AND CO,COMMON STOCK,926400102,88231842000,1903189,SH,,2.77
ACADIA HEALTHCARE COMPANY IN,COM,00404A109,88134713000,3768051,SH,,2.76
DHT HOLDINGS INC,SHS NEW,Y2065G121,80485105000,4405315,SH,,2.52
CENTENE CORP DEL,COM,15135B101,74520496000,2276130,SH,,2.34
TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADS,881624209,73255816000,2432132,SH,,2.3
PENN ENTERTAINMENT INC,COM,707569109,72712420000,4837819,SH,,2.28
CAPRI HOLDINGS LIMITED,SHS,G1890L107,71964097000,4084228,SH,,2.26
GRAPHIC PACKAGING HLDG CO,COM,388689101,69773929000,7019510,SH,,2.19
TD SYNNEX CORPORATION,COM,87162W100,67924333000,402610,SH,,2.13
BKV CORP,COM,05603J108,64754746000,2270503,SH,,2.03
GREEN BRICK PARTNERS INC,COM,392709101,53163258000,824876,SH,,1.67
LIBERTY GLOBAL LTD,COM CL A,G61188101,50344356000,4164132,SH,,1.58
CROCS INC,COM,227046109,46424784000,559200,SH,,1.45
ROIVANT SCIENCES LTD,SHS,G76279101,45558993000,1644729,SH,,1.43
RESIDEO TECHNOLOGIES INC,COM,76118Y104,44667233000,1325044,SH,,1.4
SPDR GOLD TR,GOLD SHS,78463V107,42861617000,99611,SH,,1.34
DECKERS OUTDOOR CORP,COM,243537107,40402129000,403658,SH,,1.27
SPECTRUM BRANDS HOLDINGS INC,COM,84790A105,40246907000,546091,SH,,1.26
CNH INDL N V,SHS,N20944109,38386590000,3489690,SH,,1.2
SLM CORP,COM,78442P106,37871935000,1768890,SH,,1.19
SCHEIN HENRY INC,COM,806407102,37250191000,505430,SH,,1.17
FLUOR CORP,COM,343412102,36493829000,782290,SH,,1.14
PELOTON INTERACTIVE INC,CL A COM,70614W100,36282890000,8457550,SH,,1.14
DAUCH CORP,COM,024061103,32605275000,5498360,SH,,1.02
CORE NATURAL RESOURCES INC,COM SHS,218937100,31496710000,300742,SH,,0.99
PARAMOUNT SKYDANCE CORP,COM CL B,69932A204,29520566000,3272790,SH,,0.93
ANTERO RESOURCES CORP,COM,03674X106,28835434000,679440,SH,,0.9
SLIDE INS HLDGS INC,COM,831349105,25363980000,1409110,SH,,0.79
SOTERA HEALTH CO,COM,83601L102,24931237000,1738580,SH,,0.78
BRIGHTHOUSE FINL INC,COM,10922N103,24926367000,416272,SH,,0.78
STUBHUB HLDGS INC,CL A,86384P109,22230811000,3562630,SH,,0.7
VIATRIS INC,COM,92556V106,20533174000,1519850,SH,,0.64
THE CIGNA GROUP,COM,125523100,20032925000,75100,SH,,0.63
VERSANT MEDIA GROUP INC,COM CL A,925283103,18875387000,509870,SH,,0.59
PG&E CORP,COM,69331C108,18251013000,1038760,SH,,0.57
