issuer,class,cusip,value_usd,shares,share_type,put_call,pct_portfolio
RESTAURANT BRANDS INTL INC,COM,76131D103,551325000,8080112,SH,,10.44
AMAZON COM INC,COM,023135106,489659000,2121391,SH,,9.28
WILLIS TOWERS WATSON PLC LTD,SHS,G96629103,446108000,1357601,SH,,8.45
ELEVANCE HEALTH INC FORMERLY,COM,036752103,444954000,1269302,SH,,8.43
UNION PAC CORP,COM,907818108,376416000,1627254,SH,,7.13
WESCO INTL INC,COM,95082P105,347103000,1418831,SH,,6.58
ALPHABET INC,CAP STK CL C,02079K107,341157000,1087181,SH,,6.46
FIDELITY NATL INFORMATION SV,COM,31620M106,299323000,4503801,SH,,5.67
DOLLAR GEN CORP NEW,COM,256677105,273881000,2062821,SH,,5.19
FERGUSON ENTERPRISES INC,COMMON STOCK NEW,31488V107,253138000,1137035,SH,,4.8
EAGLE MATLS INC,COM,26969P108,244967000,1185248,SH,,4.64
LIBERTY GLOBAL LTD,COM CL C,G61188127,230568000,20884781,SH,,4.37
GENUINE PARTS CO,COM,372460105,182729000,1486088,SH,,3.46
FISERV INC,COM,337738108,147774000,2200000,SH,,2.8
CRH PLC,ORD,G25508105,133905000,1072957,SH,,2.54
HERBALIFE LTD,COM SHS,G4412G101,119359000,9259844,SH,,2.26
MOLINA HEALTHCARE INC,COM,60855R100,108463000,625000,SH,,2.05
GRUPO AEROMEXICO SAB DE CV,SPONSORED ADS,40054J109,106620000,4855180,SH,,2.02
GDS HLDGS LTD,SPONSORED ADS,36165L108,106264000,3044818,SH,,2.01
AMERICOLD REALTY TRUST INC,COM,03064D108,44697000,3475685,SH,,0.85
LIBERTY GLOBAL LTD,COM CL A,G61188101,23176000,2080456,SH,,0.44
TAMBORAN RES CORP,COM,87507T101,7004000,257226,SH,,0.13
